provider,doc_time,time_date,title,link,desc
ТВ2,06:50,26 апреля,Голос сибирского сенатора против закона об изоляции Рунета засчитали «за»,http://tv2.today/News/Golos-sibirskogo-senatora-protiv-zakona-ob-izolyacii-runeta-zaschitali-za,"Совфед рассмотрел законопроект об автономном интернете 22 апреля. Документ поддержал 151 сенатор, против были четверо..."
ИА Клерк.Ру,01:40,26 апреля,Как купить онлайн-кассу и не переплатить?,https://www.klerk.ru/blogs/online-kassa/484799/,Если касса будет работать автономно (без интернета) — срок сократится до 18 мес. А продавцы подакцизных товаров могут использовать ФН только в течение 13 месяцев.
The Insider,вчера в 15:33,25 апреля,"Нарусова заявила, что голосовала против закона о суверенном интернете, а ее голос не учли из-за сбоя. В СФ ее слова отвергли",https://theins.ru/news/153798,"Ранее стало известно, что лишь четверо сенаторов проголосовали против пакета законов об «автономном интернете»."
ЗакC.Ру,вчера в 15:05,25 апреля,"Нарусова заявила, что не голосовала за принятие закона о «суверенном рунете»",https://www.zaks.ru/new/archive/view/187849,"...каким образом так получилось, что её фамилия оказалась в числе проголосовавших за принятие законопроекта об автономном российском интернете, хотя она обещала, что..."
Медиазона,вчера в 14:10,25 апреля,"Сенатор Нарусова утверждает, что ее голос против закона об «автономном интернете» неверно засчитали из-за технического сбоя",https://zona.media/news/2019/04/25/narusova,"Читаем законопроект об автономном интернете вместе с IT-специалистом «Задержка [голосования] была, но к моменту голосования все системы работали, сбоев не было»..."
Тайга.инфо,вчера в 13:20,25 апреля,Голос сибирского сенатора против закона об изоляции Рунета засчитали «за»,https://tayga.info/146228,"Совфед рассмотрел законопроект об автономном интернете 22 апреля. Документ поддержал 151 сенатор, против были четверо..."
Эхо Москвы,24 апреля в 23:50,24 апреля,Особое мнение: Андрей Мовчан,https://echo.msk.ru/programs/personalno/2413319-echo/,"Не под конкретный момент, а когда готова бюрократическая машина? Я имею в виду анонимный, то есть, автономный интернет? А.Мовчан― «Суеверный» интернет."
Телеканал UTV,24 апреля в 19:16,24 апреля,Мизулина поддержала законы о запретах,https://utv.ru/material/mizulina-podderzhala-zakony-o-zapretah/,"...то ли проделки высшего разума, но перед самым началом процесса отключился свет.Лишь 4 сенатора проголосовали против законопроекта об автономной интернете."
Юг Сибири,24 апреля в 05:11,24 апреля,"Закон об изоляции российского интернета: один сенатор от Хакасии против, другой — за",http://ctv7.ru/news/politika/54013-zakon-ob-izolyatsii-rossiyskogo-interneta-odin-senator-ot-hakasii-protiv-drugoy-za.html,"Суть идеи в том, чтобы обеспечить автономную работу интернета в России в случае международных угроз. Авторы закона видят их в США."
112.ua,23 апреля в 15:53,23 апреля,В РФ уже более месяца устанавливают «надгробия Путину»: Почему россияне «хоронят» своего президента,https://112.ua/glavnye-novosti/v-rf-uzhe-bolshe-mesyaca-ustanavlivayut-nadgrobiya-putinu-pochemu-rossiyane-horonyat-svoego-prezidenta-489229.html,"Напомним, в феврале Госдума одобрила в первом чтении законопроект об автономной работе интернета в России."
Гатчинка.рф,23 апреля в 16:02,23 апреля,Нас никому не сбить с пути,http://gatchinka.ru/column/neformatnoe-chtivo/nas-nikomu-ne-sbit-s-puti.html,"Об этом дама заявила на Форуме безопасного интернета, прошедшем в Москве и приуроченном к появлению в России «автономного» интернета."
CoinDuck,23 апреля в 15:53,23 апреля,Совет Федерации проголосовал за изоляцию Рунета и остался без интернета,https://coinduck.ru/news/politics-news/sovet-federatsii-progolosoval-za-izolyatsiyu-runeta-i-ostalsya-bez-interneta/,"С её помощью будет обеспечиваться внутренний автономный интернет, работающий на территории РФ."
Deita.ru,23 апреля в 14:32,23 апреля,Автономный рунет создают на иностранном оборудовании,https://deita.ru/ru/news/avtonomnyj-runet-sozdayut-na-inostrannom-oborudovanii/,"Законопроект об автономном интернете в России принят Советом Федерации почти единогласно, сообщает DEITA."
Эхо Москвы,23 апреля в 09:41,23 апреля,Полный Альбац: Украина после выборов,https://echo.msk.ru/programs/albac/2412021-echo/,В результате этих взрывов погибло 290 человек. Много людей ранены. Еще из плохого – сегодня Совет Федерации одобрил закон об автономном Интернете.
Реальное время,23 апреля в 07:00,23 апреля,«Сценарий отключения России от Сети реален только в одном случае — в случае реальных военных действий»,https://realnoevremya.ru/articles/137197-v-sovfede-prinyali-zakon-o-suverennom-runete,"Если говорить максимально просто, то в России планируется создание автономного сегмента интернета, на случай отключения от общемировой сети."
Новая газета,22 апреля в 22:38,22 апреля,"«Запрет — это и есть свобода». Как Мизулина, Малофеев и Турчак защитили наши цифровые права",https://www.novayagazeta.ru/articles/2019/04/22/80321-parallelnyy-mobilizatsionnyy-internet,"Сложнее дело обстоит с ограничением интернета для взрослых — эксперты и законодатели уверяют, что закон об автономном интернете не репрессивный."
Афиша Daily,22 апреля в 22:35,22 апреля,Бывшие чиновники Минкомсвязи анонимно рассказали о создании закона об автономном рунете,https://daily.afisha.ru/news/26210-byvshie-chinovniki-minkomsvyazi-anonimno-rasskazali-o-sozdanii-zakona-ob-avtonomnom-runete/,"По их словам, вероятно, идея создать в России автономный интернет появилась еще 13 лет назад, когда Минкомсвязи наказал проверить наличие угроз внешнего отключения интернета."
Эхо Москвы,22 апреля в 19:49,22 апреля,Персонально ваш: Станислав Белковский,https://echo.msk.ru/programs/personalnovash/2412011-echo/,С.Крючков― Еще одна чудесная новость. Сегодня на фоне одобренного Советом Федерации в Москве закона о суверенном или автономном интернете сенатор Мизулина вновь...
Эхо Москвы,22 апреля в 19:35,22 апреля,Особое мнение: Аркадий Дубнов,https://echo.msk.ru/programs/personalno/2412017-echo/,"Они создали действительно автономный Интернет. И вообще не только Интернет, они создали автономные платежные системы."
Ракурс,22 апреля в 19:12,22 апреля,Верхняя палата российского парламента поддержала закон об изоляции интернета,https://racurs.ua/n121117-verhnyaya-palata-rossiyskogo-parlamenta-podderjala-zakon-ob-izolyacii-interneta.html,"По словам авторов закона, он призван обеспечить автономную работу интернета в России в случаи отключения от доступа к глобальной сети и создан в ответ на принятую в сентябре 2018..."
Iluki.ru,22 апреля в 16:03,22 апреля,Совфед принял закон об автономном рунете,http://www.iluki.ru/news/sovfied-prinial-zakon-ob-avtonomnom-runietie,В Совете Федерации сегодня проголосовали за нашумевший закон об автономном интернете.
FaceNews,22 апреля в 15:40,22 апреля,Совет Федерации одобрил закон об изоляции Рунета,https://www.facenews.ua/news/2019/445139/,"По их словам, цель - обеспечить автономную работу интернета в России на случай, если российские операторы связи будут отключены от глобальной Сети."
Deutsche Welle - Russian,22 апреля в 15:34,22 апреля,Совет Федерации одобрил закон об изоляции Рунета,https://dw.com/p/3HDj4?maca=rus-yandex_new_politics_mm-9641-xml,"По их словам, цель - обеспечить автономную работу интернета в России на случай, если российские операторы связи будут отключены от глобальной Сети."
Совершенно секретно,22 апреля в 15:25,22 апреля,Совфед одобрил закон об изоляции Рунета,https://www.sovsekretno.ru/news/id/11272/,"Они хотят создать все необходимую инфраструктуру, что позволит российскому интернету работать автономно – в изоляции."
МНИАП.рф,22 апреля в 14:50,22 апреля,Технологии и экономика в формировании digital-тенденций,http://xn--80aplem.xn--p1ai/analytics/Tehnologii-i-ekonomika-v-formirovanii-digital-tendencij/,"...безопасности и эффективности жилой и рабочей среды; Динамические сети данных – необходимый элемент для интернета вещей, автономного автотранспорта и др."
Свободные Медиа,22 апреля в 14:42,22 апреля,Совет Федерации одобрил законопроект об автономном интернете,https://freemedia.io/2019/04/avtonomnyj-internet,"Теперь законопроект об автономном интернете передадут президенту Владимиру Путину. Если он его подпишет, закон вступит в силу 1 ноября 2019 года."
Euronews на русском,22 апреля в 14:36,22 апреля,Совет Федерации одобрил закон об «автономном Рунете»,http://ru.euronews.com/2019/04/22/ru-internet,"По словам законодателей, проект призван обеспечить автономную работу интернета в стране в случае отключения его от мировой сети извне."
IT-World,22 апреля в 14:32,22 апреля,Строительством федеральной сети IoT займутся структуры Игоря Ротенберга и корпорации «Ростех»,https://www.it-world.ru/it-news/telecom/144725.html,...предусматривающего построение и развитие в России автономной сети интернета вещей.
Gordonua.com,22 апреля в 14:29,22 апреля,Совет Федерации России проголосовал за закон о суверенном Рунете,https://gordonua.com/news/worldnews/sovet-federacii-rossii-progolosoval-za-zakon-o-suverennom-runete-907355.html,"В Российском союзе промышленников и предпринимателей заявили, что расходы крупных компаний на реализацию положений закона об автономном интернете могут достичь $30 млн..."
Ридус,22 апреля в 14:22,22 апреля,Верхняя палата парламента одобрила закон о надежном Рунете,https://www.ridus.ru/news/297648,"Например, у китайцев получилось сделать свой интернет автономным. И мы, я думаю, тоже сможем, - полагает Ашманов."
Инфо24,22 апреля в 14:20,22 апреля,Совет Федерации одобрил законопроект об изоляции Рунета,https://info24.ru/news/sovet-federacii-odobril-zakonoproekt-ob-izolyacii-runeta.html,"Госдума приняла закон об автономном российском интернете 16 апреля. На исполнение закона, по предварительным подсчетам, уйдет 30 млрд рублей."
Общественное телевидение России,22 апреля в 14:15,22 апреля,Совет Федерации одобрил законопроект об автономном рунете,https://otr-online.ru/news/sovet-federacii-odobril-zakonoproekt-ob-avtonomnom-runete-124723.html,Совет Федерации поддержал законопроект об автономном интернете. Трансляция заседания ведется на сайте Совета.
66.ru,22 апреля в 14:10,22 апреля,Совет Федерации принял закон об изоляции Рунета. Как он будет работать,https://66.ru/news/internet/220935/,Сколько потратят на автономный интернет? Правительство России планирует выделить на исполнение закона об изоляции российского интернета около 30 млрд рублей.
Медиазона,22 апреля в 14:05,22 апреля,Совет Федерации одобрил законопроект об автономном интернете,https://zona.media/news/2019/04/22/sovfed_internet,"Теперь законопроект об автономном интернете передадут президенту Владимиру Путину. Если он его подпишет, закон вступит в силу 1 ноября 2019 года."
БелТелеРадиокомпания,22 апреля в 10:45,22 апреля,Внешняя и внутренняя политика Беларуси - важный блок Послания Президента,https://www.tvr.by/news/politika/vneshnyaya_i_vnutrennyaya_politika_belarusi_vazhnyy_blok_poslaniya_prezidenta_/,"Или кибербезопасность - вместо работы в Сети предлагают автономный Интернет, т. е. закрыть, запретить, отрезать."
БелТелеРадиокомпания,21 апреля в 21:30,21 апреля,Внешняя и внутренняя политика Беларуси - важный блок Послания Президента,https://www.tvr.by/news/glavnyy-efir/vneshnyaya_i_vnutrennyaya_politika_belarusi_vazhnyy_blok_poslaniya_prezidenta_/,"Или кибербезопасность - вместо работы в Сети предлагают автономный Интернет, т. е. закрыть, запретить, отрезать."
Peopletalk,19 апреля в 21:13,19 апреля,Принят закон о «Суверенном Интернете». Что это значит?,https://peopletalk.ru/article/prinyat-zakon-o-suverennom-internete-chto-eto-znachit/,"...его первый заместитель Людмила Бокова и депутат Госдумы Андрей Луговой, заявили, что речь идет о создании безопасного автономного российского Интернета..."
Нижний Новгород on-line,18 апреля в 19:36,18 апреля,"«Никакого секса и критики партии»: нижегородцы рассказали, как работает суверенный Интернет в Китае",https://www.nn.ru/news/articles/nikakogo_seksa_i_kritiki_partii_nizhegorodtsy_rasskazali_kak_rabotaet_suverennyy_internet_v_kitae/66059980/,Для Китая автономный интернет стал интернетом с жёсткой цензурой.
Калужские новости,18 апреля в 17:23,18 апреля,Депутат Госдумы от Калужской области Геннадий Скляр поддержал закон об изоляции рунета,https://kaluganews.ru/fn_445346.html,...законопроект о создании инфраструктуры для функционирования российского сегмента интернета автономно от остального мира.
Арсеньевские вести,17 апреля в 16:24,17 апреля,Достижения есть! Не у нас,http://www.arsvest.ru/rubr/3/57667,"Пресекал. А тут незадача: надо было голосовать за закон об «автономном интернете», а Володин – в Саратове. Но как не проголосовать!"
24СМИ,17 апреля в 14:38,17 апреля,Чем грозит россиянам закон о суверенном Интернете,https://24smi.org/news/151266-chem-grozit-rossiianam-zakon-o-suverennom-internet.html,"Суть закона об автономном Интернете, а также чем он грозит пользователям — в материале редакции 24СМИ. Что такое автономный Рунет?"
LoginCasino.com,17 апреля в 13:11,17 апреля,В финальном чтении Госдума приняла закон об изоляции Рунета,https://logincasino.com/news/v-finalnom-chtenii-gosduma-prinyala-zakon-ob-izolyacii-runeta55225.html,Цель законопроекта – создание технических возможностей для продолжения работы российского Интернета в автономном режиме после отключения от всемирной Сети.
Владимирские новости,17 апреля в 12:37,17 апреля,Депутаты Госдумы от Владимирской области поддержали изоляцию Рунета,http://vladimirnews.ru/fn_445102.html,Григорий Аникеев и Игорь Игошин проголосовали за законопроект о создании автономного российского интернета.
Телеканал новин 24,17 апреля в 12:01,17 апреля,В Госдуме РФ приняли решение об автономном интернете: какие могут быть последствия?,https://24tv.ua/ru/v_gosdume_rf_prinyali_reshenie_ob_avtonomnom_internete_kakie_mogut_byit_posledstviya_n1141972,"В частности, 16 апреля, Госдума РФ одобрила в третьем и окончательном чтении законопроект ""о суверенном интернете"". Далее дело за малым – голосование в Совете Федерации и подписание президентом..."
Телеканал новин 24,17 апреля в 12:01,17 апреля,В Госдуме РФ приняли решение об автономном интернете: какие могут быть последствия?,https://24tv.ua/v_gosdume_rf_prinyali_reshenie_ob_avtonomnom_internete_kakie_mogut_byit_posledstviya_n1141972,"В частности, 16 апреля, Госдума РФ одобрила в третьем и окончательном чтении законопроект ""о суверенном интернете"". Далее дело за малым – голосование в Совете Федерации и подписание президентом..."
Переводика,17 апреля в 10:01,17 апреля,"Российская Дума рассматривает спорный законопроект, который может «сломать интернет»",http://perevodika.ru/articles/1205504.html,"Прошло третье чтение спорного законопроекта, призванного создать полностью автономный местный Интернет."
Настоящее Время,17 апреля в 06:02,17 апреля,«Будет просто грандиозный попил». Эксперты обсуждают последствия закона «Об изоляции рунета»,https://www.currenttime.tv/a/law-runet-blocking/29884466.html,"...которыми обмениваются между собой российские пользователи, а также создать необходимую для ""автономного интернета"" инфраструктуру."
Амур.инфо,17 апреля в 03:41,17 апреля,Угроза извне не страшна: в России создадут надежный и устойчивый Рунет,http://www.amur.info/news/2019/04/17/152862,Все попытки назвать документ законом «об автономном интернете» или «способом изолировать Россию в цифровом пространстве» не имеют ничего общего с действительностью...
Голос Америки,16 апреля в 20:50,16 апреля,«Суверенный интернет» в России: технология и политика,https://www.golos-ameriki.ru/a/russian-sovereign-internet--last-reading/4878381.html,"Законопроект о «суверенном интернете», который был сегодня, 16 апреля, принят российской Госдумой в третьем чтении, предусматривает создание автономного интернета в стране..."
Афиша Daily,16 апреля в 20:40,16 апреля,"Грустный рейтинг новостей о российском интернете, от которого хочется плакать",https://daily.afisha.ru/brain/11736-grustnyy-reyting-novostey-o-rossiyskom-internete-ot-kotorogo-hochetsya-plakat/,"Это нужно, говорят авторы закона, чтобы Россию не отключили от мирового интернета, но дает дополнительные опции: можно создать в России автономный интернет и запретить..."
Накануне.Ru,16 апреля в 19:22,16 апреля,Рунет стал «суверенным»: чего ждать при новых правилах регулирования глобальной сети?,https://www.nakanune.ru/news/2019/04/16/22538551/,"Согласно закону, автономно интернет в России будет работать только в случае, когда возникают риски и угрозы."
CNews,16 апреля в 18:56,16 апреля,«Железо» для закона о суверенном Рунете обвалило сервисы «Яндекса»,http://www.cnews.ru/news/top/2019-04-16_yandeks_vypolnenie_zakona_o_suverennom_runete,Документ вводит понятие автономной интернет-системы — уникального идентификатора совокупности средств связи и иных технических средств в интернете...
Медиазона,16 апреля в 18:44,16 апреля,В «Яндексе» связали отключение сервисов компании с применением технологии для исполнения закона об автономном интернете,https://zona.media/news/2019/04/16/jandex-dpi,"Ранее в материале ошибочно утверждалось, что стоимость реализации закона об автономном сегменте российского интернета оценивается в 30 млн рублей."
Популярная механика,16 апреля в 18:23,16 апреля,Российский сегмент интернета станет автономным осенью,https://www.popmech.ru/technologies/news-475972-rossiyskiy-segment-interneta-stanet-avtonomnym-osenyu/,"Согласно “закону о суверенном интернете” за обеспечение безопасности, бесперебойного функционирования и осуществление контролирующих функций будет отвечать Роскомнадзор. …Затраты на выполнение..."
CNews,16 апреля в 18:19,16 апреля,Власти получили «ядерное оружие» для управления Рунетом,http://www.cnews.ru/news/top/2019-04-16_vlasti_poluchili_yadernoe_oruzhie_dlya_upravleniya,"Закон «Об автономном Рунете» одобрен Госдумой Государственная Дума одобрила в третьем окончательном чтении закон, получивший название «Об автономном (суверенном) интернете»."
Эхо Москвы,16 апреля в 18:15,16 апреля,В Госдуме в третьем чтении принят так называемый закон об автономном интернете,https://echo.msk.ru/news/2408951-echo.html,"Жириновский добавил, что автономный Интернет нужен России для подстраховки, потому что всемирную Сеть стране не отключат никогда."
Зебра ТВ,16 апреля в 18:11,16 апреля,Они проголосовали за «суверенный интернет»,https://zebra-tv.ru/novosti/vlast/oni-progolosovali-za-suverennyy-internet/,"Депутаты Государственной думы Григорий Аникеев и Игорь Игошин, избранные от Владимирской области, поддержали законопроект о создании автономного российского интернета."
RT на русском,16 апреля в 17:48,16 апреля,Госдума утвердила закон о безопасном и устойчивом интернете,https://russian.rt.com/russia/article/621991-gosduma-zakon-suverennyi-internet-rossiya,"...информационным технологиям и связи Леонид Левин подчеркнул, что все попытки назвать принятый документ законом «об автономном интернете» или «способом изолировать Россию..."
Новая газета,16 апреля в 17:45,16 апреля,Роскомнадзор поиграет с «ядерной кнопкой». Госдума наделила ведомство правом отключать рунет от мировой сети,https://www.novayagazeta.ru/articles/2019/04/16/80247-roskomnadzor-poigraet-s-yadernoy-knopkoy,Не поддержавшие закон об автономном интернете парламентарии считают его репрессивным и ограничивающим свободу слова и печати в России.
АБН,16 апреля в 16:56,16 апреля,Почти половина россиян не понимает сути закона о «суверенном рунете»,https://abnews.ru/2019/04/16/pochti-polovina-rossiyan-ne-ponimaet-suti-zakona-o-suverennom-runete/,У каждой точки с единой политикой маршрутизации появится собственный «номер автономной системы»; — интернет-провайдеров обяжут устанавливать «технические средства...
56orb.ru,16 апреля в 16:16,16 апреля,Чем обернётся для оренбуржцев закон о блокировках в Интернете,https://56orb.ru/news/society/16-04-2019/pravitelstvo-potratit-bole-30-milliardov-rubley-na-izolyatsiyu-runeta,"Но если законопроект об автономном интернете дополнят «разумными» подзаконными актами, тогда у властей появится возможность создать «внутренний» интернет..."
Капитал страны,16 апреля в 16:14,16 апреля,Наш киберответ США. В России принят закон о суверенном Рунете,http://kapital-rus.ru/articles/article/nash_kiberotvet_ssha_v_rossii_prinyat_zakon_o_suverennom_runete_/,"Автономный Интернет Поправки в законы «О связи» и «Об информации, информационных технологиях и о защите информации» сегодня были рассмотрены в третьем чтении..."
Первое Студенческое агентство,16 апреля в 14:35,16 апреля,Госдума приняла закон о суверенном интернете. Вице-спикер объясняет – зачем,https://pervoe.online/news/student-v-teme/4430-petr_tolstoy/,"Читайте эту и другие ключевые цитаты его выступления: Об «изоляции» российского интернета Нет никакой идеи автономного интернета, «китайского файервола»."
Euronews на русском,16 апреля в 14:25,16 апреля,Госдума приняла закон о рунете,http://ru.euronews.com/2019/04/16/ru-state-duma-internet-law,"По словам законодателей, проект призван обеспечить автономную работу интернета в стране в случае отключения его от мировой сети извне."
Фонтанка.Ру,16 апреля в 13:59,16 апреля,"«Надеюсь, оно будет находиться в спящем состоянии». Глава РКН сравнил законопроект об автономном Рунете с ядерным оружием",https://www.fontanka.ru/2019/04/16/079/,Глава Роскомнадзора Александр Жаров сравнил законопроект об автономном Интернете с ядерным оружием. Об этом 16 апреля пишет RNS.
Гражданские силы.ру,16 апреля в 13:56,16 апреля,Госдума приняла законопроект об автономном Интернете,https://gr-sily.ru/politika/gosduma-prinyala-zakonoproekt-ob-avtonomnom-internete-28380.html,"Ранее РБК писал о том, что стоимость автономного Интернета обойдется государству в 30 млрд рублей..."
Медиазона,16 апреля в 13:11,16 апреля,Жаров сравнил законопроект об автономном интернете с ядерным оружием,https://zona.media/news/2019/04/16/nuclear,Сегодня Госдума одобрила законопроект об автономном интернете в окончательном третьем чтении.
Городской портал Новый Нижний,16 апреля в 13:00,16 апреля,Закон об изоляции рунета приняли в последнем чтении Госдумы,https://news.newnn.ru/2019/04/16/zakon-ob-izolyatsii-runeta-prinyali-v-poslednem-chtenii-gosdumy/,"16 апреля в третьем чтении, которое можно было смотреть в прямом эфире, Госдума приняла закон об автономном интернете на территории России."
Новости Перми,16 апреля в 12:56,16 апреля,Госдума приняла закон об изоляции российского интернета,https://www.permnews.ru/novosti/russia_mir_news/2019/04/16/gosduma_prinyala_zakon_ob_izolyacii_rossiyskogo_interneta/,"По мнению депутатов, создание такой инфраструктуры позволит российскому интернету работать автономно, если в мире произойдет массовый сбой."
Махачкалинские известия,16 апреля в 16:44,16 апреля,Госдума приняла закон об автономном российском интернете,http://midag.ru/new/gosduma_prinyala_zakon_ob_avtonomnom_rossiyskom_internete-29912/,"Законопроект об обеспечении устойчивой работы российского сегмента интернета в случае отключения от глобальной инфраструктуры всемирной сети был принят 16 апреля в третьем, заключительном чтении..."
Агентство Телеграф,16 апреля в 12:06,16 апреля,Госдума приняла в окончательном чтении закон об изоляции рунета,http://rustelegraph.ru/news/2019-04-16/gosduma-prinyala-v-okonchatelnom-chtenii-zakon-ob-izolyatsii-runeta-86921/,"...которая позволит российскому интернету стать автономным.В феврале пользователи интернета создали петицию, где призывают досрочно прекратить полномочия."
iReactor,16 апреля в 11:40,16 апреля,Госдума приняла в окончательном чтении закон о защите Рунета,https://inforeactor.ru/224869-gosduma-prinyala-v-okonchatelnom-chtenii-zakon-o-zashite-runeta,"Отметим, что в случае приятия проекта в Совфеде, в России создадут свой собственный, автономный Интернет на случай отключения от глобальной сети."
VSE42 Новости,16 апреля в 11:39,16 апреля,Российские депутаты проголосовали за закон Клишаса о Рунете в последний раз,https://news.vse42.ru/feed/show/id/30026233,"...окончательном чтении, приняли закон, предусматривающий создание инфраструктуры, способной поддерживать автономную работу интернета в России."
FreeNews-Volga,16 апреля в 12:06,16 апреля,Госдума в третьем чтении приняла законопроект о «суверенном интернете»,https://fn-volga.ru/news/view/id/100494,"Государственная дума России приняла в третьем чтении законопроект, о создании инфраструктуры для функционирования российского сегмента интернета автономно от..."
ИжевскИнфо.РУ,16 апреля в 12:42,16 апреля,Госдума приняла в третьем чтении законопроект об автономном Интернете,https://izhevskinfo.ru/news/cont_73280.html,16 апреля Госдума в третьем чтении приняла законопроект о так называемом суверенном Рунете . Трансляция заседания ведётся на сайте нижней палаты парламента.
Настоящее Время,16 апреля в 11:29,16 апреля,Госдума приняла в третьем чтении закон «об изоляции рунета»,https://www.currenttime.tv/a/internet-law-russia-isolation-duma/29883614.html,"...создать в России инфраструктуру для ""автономного интернета"" без возможности подключения российских операторов связи к зарубежным корневым серверам."
Телеканал RTVI,16 апреля в 11:28,16 апреля,Госдума в окончательном чтении приняла законопроект об автономности Рунета,https://rtvi.com/news/gosduma-v-okonchatelnom-chtenii-prinyala-zakonoproekt-ob-avtonomnosti-runeta/,06:0713 Февраля 2019 г. По теме: Внешняя угроза и авторитаризм: почему в России одобрили законопроект об автономном интернете По словам Клишаса...
Медиазона,16 апреля в 11:25,16 апреля,Госдума в третьем чтении одобрила законопроект об автономном интернете,https://zona.media/news/2019/04/16/internet-3,"Как писал РБК, затраты на автономный интернет могут составить 30 млрд рублей. Авторы законопроекта — сенаторы Андрей Клишас и Людмила Бокова..."
Naviny.by,16 апреля в 12:50,16 апреля,Госдума России одобрила законопроект об автономном интернете,https://naviny.by/new/20190416/1555408800-gosduma-rossii-odobrila-zakonoproekt-ob-avtonomnom-internete,Затраты на автономный интернет могут составить около 500 млн долларов. Авторы законопроекта — сенаторы Андрей Клишас и Людмила Бокова...
TelecomDaily,16 апреля в 11:24,16 апреля,Суверенный интернет вышел на старт,http://tdaily.ru/news/2019/04/16/suverennyy-internet-vyshel-na-start,«Попытки называть рассматриваемый законопроект «китайским файерволом» или «законом об автономном интернете» не имеют ничего общего с сутью законодательной инициативы.
Sochi.com,16 апреля в 11:55,16 апреля,Рунет изолируют от мировой Сети,http://sochi.com/news/2085/445686/,"Как сообщают СМИ, затраты на автономный интернет могут достигать 30 млрд рублей. Совет Федерации рассмотрит соответствующий закон 22 апреля."
Авторадио,16 апреля в 11:42,16 апреля,Госдума в третьем чтении одобрила законопроект об автономном интернете,http://www.avtoradio.ru/news/uid/120242,"По данным СМИ, затраты на автономный интернет могут составить 30 млрд рублей. Совет Федерации рассмотрит закон 22 апреля."
Онлайн 812,15 апреля в 21:32,15 апреля,Уткин хотел бы предложить Путину сходить в супермаркет и готов сам везти его тележку,http://online812.ru/2019/04/15/111255/,"Законы о неуважение к власти и создании автономного российского интернета «отнимают то пространство, которое люди уже давно обжили»."
Ясно,15 апреля в 17:53,15 апреля,Политтехнолог: кубанских дольщиков используют политики разной величины,https://yasnonews.ru/news/obchestvo/polittekhnolog_kubanskikh_dolshchikov_ispolzuyut_politiki_raznoy_velichiny/,"Например, закон об автономном интернете у них стал законом о цензуре в Сети, включение части неналоговых платежей для бизнеса в Налоговый кодекс подавалось..."
Daily Storm,15 апреля в 17:01,15 апреля,Василий Уткин: Я не сравниваю себя с Владимиром Путиным,https://dailystorm.ru/vlast/vasiliy-utkin-ya-ne-sravnivayu-sebya-s-vladimirom-putinym,"— Что вы думаете о последних законах, касающихся наказания граждан за неуважение к власти и создании автономного российского интернета?"
Право.ру,15 апреля в 16:13,15 апреля,В Австрии запретят анонимность в интернете в 2020 году,https://pravo.ru/news/210828/,...анонимно комментировать записи в В Госдуме предложили отложить срок вступления в силу закона об автономном Рунете интернете.
Smitanka.ru,15 апреля в 14:49,15 апреля,Россия изолируется от мирового Интернета,https://smitanka.ru/news/rossiya_izoliruetsya_ot_mirovogo_interneta/,Законопроект об автономном интернете парламентарии объясняют стремлением защититься от внешних угроз.
