provider,doc_time,time_date,title,link,desc
Deutsche Welle - Russian,07 марта в 00:58,07 марта,Мессенджер Telegram призывает выйти на митинг за свободный интернет,https://dw.com/p/3EZNY?maca=rus-yandex_new_politics_mm-9641-xml,"Акция протеста против закона, позволяющего российскому сегменту интернета работать автономно от мировой сети, намечена на 10 марта."
МР7.ру,06 марта в 22:44,06 марта,Telegram призывает выйти на митинг против изоляции российского Интернета,https://mr7.ru/articles/198728/,"Напомним, власти Петербурга не согласовали митинг против цензуры и автономного Интернета, но организаторы все равно намерены провести его 10 марта."
Радио Свобода,06 марта в 22:35,06 марта,Мессенджер Telegram призвал пользователей выйти на акции против изоляции Рунета,https://www.svoboda.org/a/29807323.html,"По оценке Клишаса, на реализацию законопроекта по созданию в России автономного интернета будет потрачено 20 миллиардов рублей."
"Наша Версия - Марий Эл, Чувашия",06 марта в 19:48,06 марта,Видеоблогером из Чебоксар заинтересовался Центр по борьбе с экстремизмом МВД по Чувашии,https://ch.versia.ru/videoblogerom-iz-cheboksar-zainteresovalsya-centr-po-borbe-s-yekstremizmom-mvd-po-chuvashii,"Жанна Куралёва выкладывает на своем YouTube-канале опросы прохожих на актуальные темы: об автономном интернете, о реальных доходах граждан, о кредитах и т.д..."
Голос Америки,06 марта в 17:53,06 марта,Леонид Волков и Александр Плющев – о свободе интернета в России,https://www.golos-ameriki.ru/a/freedom-of-internet-in-russia/4815685.html,"Также готовится ко второму чтению законопроект об «автономном интернете» - «Закон Клишаса», как называют для краткости этот документ..."
Politeka,06 марта в 12:49,06 марта,Украина попала в пятерку стран с самым доступным интернетом: «Дешевле не найдете»,https://politeka.net/news/economics/943450-ukraina-popala-v-pjaterku-stran-s-samym-dostupnym-internetom-deshevle-ne-najdete/,"Как сообщалось ранее, в России приняли закон об автономном Интернете. И, фактически, это новый, последовательный и значительный шаг в подготовке к войне."
Idel.Реалии,06 марта в 10:34,06 марта,В Чувашии видеоблогера вызвали в Центр «Э» из-за комментария на YouTube,https://www.idelreal.org/a/29806181.html,"Так, чебоксарцы рассказывали ей об отношении к уничтожению санкционной еды, о возможности создания автономного интернета, о реальном росте доходов граждан."
7х7,05 марта в 20:16,05 марта,Видеоблогера из Чебоксар вызвали в Центр по борьбе с экстремизмом из-за комментария на YouTube,https://7x7-journal.ru/anewsitem/118211,"...чебоксарцы рассказывали ей об отношении к уничтожению санкционной еды, о возможности создания автономного интернета, о реальном росте доходов граждан."
ПравозащитникИнфо,01 марта в 20:10,01 марта,В свободу слова в России могут вкрутить новую гайку,https://pravozashitnik.info/news/v-svobodu-slova-v-rossii-mogut-vkrutit--novuyu-gajku-3678,"Все они, включая проекты о фейковых новостях, оскорблении власти в Интернете и автономном Рунете, уже прошли первые чтения в Госдуме."
Военное обозрение,01 марта в 13:12,01 марта,Как Америка может отключить Интернет в России,https://topwar.ru/154836-kak-amerika-mozhet-otkljuchit-internet-v-rossii.html,"Госдума приняла в первом чтении законопроект об автономном Интернете, о нем говорит и президент."
Элитный трейдер,01 марта в 07:52,01 марта,OneWeb запустил свои первые спутники: интернет станет доступнее,http://elitetrader.ru/index.php?newsid=440969,"Это поможет снизить стоимость передачи данных на фоне взрывного роста спроса на эти данные благодаря автономным автомобилям, интернету вещей (IoT), ИИ, виртуальной реальности."
RT на русском,27 февраля в 21:23,27 февраля,Чем может угрожать России активность американских военных в киберпространстве,https://russian.rt.com/world/article/606510-kibertataka-ssha-otklyuchat-internet,"«Принятие закона об автономной работе интернета — шаг хоть и запоздалый, но верный, — утверждает Леонид Савин."
Медиазона,27 февраля в 20:05,27 февраля,В Москве оштрафовали третью участницу акции против закона об автономном интернете,https://zona.media/news/2019/02/27/15-k,"...Москвы назначил штраф в 15 тысяч рублей участнице «Ассоциации народного сопротивления» Марии Некрасовой за акцию против законопроекта об автономном интернете, сообщает..."
Независимая газета,27 февраля в 18:14,27 февраля,Рейтинг влияния 100 ведущих политиков России в феврале 2019 года,http://www.ng.ru/ideas/2019-02-27/5_7519_100polit.html,После того как депутат Госдумы РФ от ЛДПР Андрей Луговой отказался отзывать свою подпись под законопроектом об автономном Интернете вопреки позиции руководства фракции...
Ovdinfo.org,27 февраля в 17:41,27 февраля,Активистку «Ассоциации народного сопротивления» оштрафовали на 15 тысяч рублей из-за участия в акции,https://ovdinfo.org/express-news/2019/02/27/aktivistku-associacii-narodnogo-soprotivleniya-oshtrafovali-na-15-tysyach,Этим она выразили свой протест против закона об автономном интернете в России. 25 января из-за акции задержали активистку АНС Анастасию Зиновкину...
ForumDaily.com,27 февраля в 17:28,27 февраля,США провели кибератаку против России и отключили интернет «фабрике троллей»,http://www.forumdaily.com/ssha-proveli-kiberataku-protiv-rossii-i-otklyuchili-internet-fabrike-trollej/,"Против законопроекта выступили представители всех фракций, кроме «Единой России». В СМИ его стали называть законопроектом о суверенном (автономном) интернете."
News.ru,27 февраля в 14:44,27 февраля,Клишас отказался обсуждать с Гудковым законы об Интернете,https://news.ru/obshestvo/internet-zakon-klishas-gudkov/,"Сенатор Андрей Клишас, который стал автором резонансных законопроектов об автономном сегменте Интернета, о наказании за фейковые новости и о запрете оскорбления властей..."
ЗакC.Ру,27 февраля в 13:56,27 февраля,"Гудков об отказе Клишаса от дебатов об автономном интернете: Канцелярское ""идите в…""",https://www.zaks.ru/new/archive/view/186094,"Сенатор Андрей Клишас отказал политику Дмитрию Гудкову в дебатах по поводу законопроекта об автономной работе рунета и неуважительных высказываниях в адрес власти, общества и государства в..."
Медиазона,27 февраля в 09:21,27 февраля,В Госдуму внесли законопроект об увеличении штрафов за распространение вредной для детей информации,https://zona.media/news/2019/02/27/shtraf,"Сенатор Бокова — соавтор законопроектов об автономном интернете, об аресте за «явное неуважение к государству» в интернете и о штрафах за фейковые новости."
Радио Свобода,27 февраля в 05:45,27 февраля,Пригожая Россия. Автономный интернет и суверенный атлас мира,https://www.svoboda.org/a/29793019.html,"Примерно через месяц после этого сенатор Клишас внес в Госдуму законопроект об “автономном интернете”, а вчера правительство России обнародовало постановление..."
Настоящее Время,27 февраля в 05:25,27 февраля,27 февраля. Пригожая Россия. Автономный интернет и суверенный атлас мира,https://www.currenttime.tv/a/29793012.html,"Примерно через месяц после этого сенатор Клишас внес в Госдуму законопроект об “автономном интернете”, а вчера правительство России обнародовало постановление..."
Настоящее Время,26 февраля в 23:20,26 февраля,Washington Post: спецслужбе США удалось отключить «фабрику троллей» от интернета,https://www.currenttime.tv/a/29792444.html,"14 декабря 2018 года сенатор Андрей Клишас внес в Госдуму законопроект об ""автономном интернете"". Необходимость его принятия объясняется тем..."
Радио Свобода,26 февраля в 19:54,26 февраля,В Москве арестовали участницу пикета против автономного интернета,https://www.svoboda.org/a/29792198.html,Суд в Москве арестовал на 7 суток активистку Анастасию Зиновкину за участие в акции против закона об автономном интернете.
